순위,채널명,태그,일일 슈퍼챗수입,일일 슈퍼챗개수
1,가로세로연구소,"#가로세로연구소, #가세연","₩2,874,515",159
2,동준사장tv,"#게이, #트랜스","₩2,285,203",62
3,수와진TV 👩‍❤‍👨,"#수와진, #사랑","₩2,254,793",167
4,풍자테레비,"#풍자, #젠더","₩2,086,376",146
5,김해꼬마tv,"#서태승, #라보티비","₩2,063,079",120
6,태국푸차이 [puchai tv],"#thailand, #태국","₩1,544,805",42
7,박시영TV,"#박시영, #박시영티비","₩1,543,943",94
8,Erzhan,"#바카라, #이기는법","₩1,516,141",138
9,대주주TV,"#주식, #경제","₩1,465,422",146
10,질래's 펌핑tv,"#조질래, #질래","₩1,374,600",30
11,너알아TV,"#너알아, #너알아tv","₩1,365,962",50
12,하면되겠지,#대깨문,"₩1,274,760",56
13,냉철tv,"#전업투자자, #전업투자","₩1,241,308",147
14,따이TV,"#실시간, #Live","₩1,213,331",29
15,아야금AYAGEUM,"#아야금, #가야금","₩1,193,272",32
16,우리개 연구소JindodogInst,"#우리개연구소, #진돗개","₩1,142,504",2
17,유재일,"#유재일, #정치평론","₩1,019,129",67
18,"박강수TV singer, song writer","#박강수라이브, #박강수","₩915,767",52
19,세부부부 CebuCouple,"#필리핀, #이민","₩856,743",42
20,동물구조119,"#유기견, #동물구조","₩833,621",87
21,미친연애TV,"#연애, #남자심리","₩776,187",41
22,시사타파TV,"#시사타파, #문재인","₩758,443",29
23,BJ톨,"#시사뉴스, #사회운동","₩736,711",46
24,팔천사와강아지세상,"#반려견, #유기견","₩728,220",21
25,김기수,"#김기수, #뷰티크리에이터","₩688,960",17
26,신의한수,"#문재인, #김정은","₩687,887",26
27,열린공감TV,"#열린공감, #열린민주당","₩679,669",45
28,에센스룸,"#에센스룸, #패션","₩637,152",54
29,이동형TV,"#이작가, #이이제이","₩637,120",28
30,나군TV MrNaTV,"#라오킹, #모바일게임","₩631,688",36
31,롯본기 김교수,"#일본, #동경","₩617,073",51
32,박호두,"#박호두, #해외선물","₩613,136",82
33,까막이,"#다정한부부, #뻑가","₩602,962",54
34,잇츠의 거한TV [ It's ],"#킹오브98, #It","₩589,418",19
35,버럭이와 장금이 TV,"#품바, #여행","₩585,410",66
36,인라이트 스쿨,"#인라이트, #윤서인","₩582,851",16
37,스트리머 사또,"#리니지2M, #넷마블","₩580,830",40
38,프리멜로,"#프리멜로, #작곡","₩573,978",16
39,단디하자TV,,"₩568,456",9
40,Hyper Genius[초천재],"#한강, #손정민","₩568,352",22
