순위,채널명,태그,주간_조회수
109,FNCEnt,"#SF9, #에스에프나인","2,812,346"
110,Ox_Zung Squad,"#OxZung, #OxZungmama","2,792,035"
111,GOYUMYUM고얌얌,"#spicyseafoodasmr, #해물찜먹방","2,788,319"
112,JYP Entertainment,"#TWICE, #WhatisLove","2,774,683"
113,SMTOWN,"#NCTDREAM, #HotSauce","2,765,041"
114,해피훈니스happi_hoon_ness,"#똥밟았네, #포텐독","2,764,735"
115,HYBE LABELS,"#BTS, #방탄소년단","2,752,746"
116,SMTOWN,"#EXO, #엑소","2,749,267"
117,Wanyo mori,#Shorts,"2,744,865"
118,웍하이 360 °,"#Shorts, #불맛국자","2,716,488"
119,HYBE LABELS,"#0X1LOVESONG, #TheChaosChapter","2,669,581"
120,설기양SULGI,"#먹방, #ASMR","2,655,710"
121,계향쓰 GH'S,,"2,647,108"
122,[햄지]Hamzy,"#두찜, #불마왕불닭","2,638,793"
123,NH농협은행,"#NH튜브, #NH소식","2,625,871"
124,LeesiYoung Short,"#LeesiYoung, #LeesiYoungshort","2,621,095"
125,알고리즘의 신비,,"2,605,996"
126,영국남자 Korean Englishman,"#분식, #핫도그","2,567,936"
127,놀면 뭐하니?,,"2,557,828"
128,야미보이 Yummyboy,,"2,549,643"
129,짧은 영상 채널 shorts video channel,#shorts,"2,533,676"
130,1theK (원더케이),"#NEWRELEASE, #MV","2,516,259"
131,알고리즘의 신비,,"2,476,468"
132,MOOMOO STUDIO,"#Mukbang, #ASMR","2,475,002"
133,KB국민은행,"#KB국민은행, #오십의맞춤법","2,469,923"
134,LG Home Appliance & Air Solution,"#LGHVAC, #LG_Air_Solution","2,469,761"
135,Ace Art 에이스 아트,,"2,421,149"
136,Hongyu ASMR 홍유,,"2,420,274"
137,BANGTANTV,,"2,417,484"
138,피기보이 PiggyBoy,"#수제캔디, #어몽어스","2,389,117"
139,크랩 KLAB,"#크랩, #똥밟았네","2,387,968"
140,서은이야기[SeoeunStory],,"2,364,544"
141,BLACKPINK,,"2,360,595"
142,EminemMusic,"#Eminem, #Stan","2,337,967"
143,Amazing Cooking - 놀라운 요리,"#asmr, #스톱모션요리","2,337,067"
144,광저우사입삼촌,"#고래, #shorts","2,300,398"
145,JYP Entertainment,"#StrayKids, #GO生","2,298,697"
146,초이다니엘,,"2,292,299"
147,6습,"#FridayNightFunkin, #Minecraft","2,286,997"
148,odg,,"2,286,837"
149,토비아트 - TobiART,"#drawing, #coloring","2,273,171"
150,HYBE LABELS,,"2,271,391"
151,야미보이 Yummyboy,,"2,255,901"
152,HYBE LABELS,"#ENHYPEN, #BORDER_CARNIVAL","2,252,654"
153,권마키,,"2,210,608"
154,BANGTANTV,,"2,205,512"
155,Bus and Train,,"2,191,568"
156,한국 완두콩,"#peapea, #stopmotion","2,187,366"
157,HYBE LABELS,,"2,168,143"
158,JTBC Voyage,"#조윤희, #이로아","2,160,604"
159,TOY GUMA,,"2,160,383"
160,tvN D ENT,"#티전드, #유퀴즈온더블럭","2,155,521"
161,Ox_Zung Squad,"#OxZung, #OxZungmama","2,154,915"
162,차카게살자,"#콧털형님, #도광록","2,144,603"
163,파쿠르팀 언더커버,"#파쿠르, #언더커버","2,141,118"
164,Busan International Short Film Festival,,"2,126,758"
165,tzuyang쯔양,"#스테이크, #도전","2,124,042"
166,런닝맨 - 스브스 공식 채널,"#예능맛ZIP, #런닝맨","2,108,131"
167,혀니콤보 TV,,"2,106,753"
168,스포츠암행어사,"#shorts, #카메라맨","2,098,592"
169,TWICE,"#TWICE, #TZUYU","2,089,842"
170,Ox_Zung Squad,"#OxZung, #OxZungmama","2,075,683"
171,BLACKPINK,"#BLACKPINK, #블랙핑크","2,062,124"
172,JYP Entertainment,"#StrayKids, #IN生","2,060,657"
173,ArtSoccer,,"2,046,871"
174,1theK (원더케이),"#NEWRELEASE, #MV","2,041,437"
175,Jane ASMR 제인,,"2,040,406"
176,6습,"#FridayNightFunkin, #Minecraft","2,027,083"
177,썩코치의 야구쑈,"#shorts, #포수","2,025,493"
178,JYP Entertainment,"#TWICE, #FANCY","2,024,119"
179,BLACKPINK,"#BLACKPINK, #SQUARETWO","2,023,241"
180,Zero_sider,,"2,018,066"
181,HYBE LABELS,"#BTS, #방탄소년단","2,014,615"
182,钢铁西游-官方频道,,"2,012,435"
183,Hongyu ASMR 홍유,,"2,006,733"
184,SBS NOW / SBS 공식 채널,"#꼬꼬무, #17회요약","1,996,570"
185,BANGTANTV,,"1,993,960"
186,Jane ASMR 제인,,"1,993,737"
187,천뚱TV,#간장게장먹방,"1,988,075"
188,MapleStory_KR,"#메이플스토리, #메이플신규직업","1,982,118"
189,LDX,,"1,981,871"
190,BIBO와 장난감,,"1,980,164"
191,Wanyo mori,#Shorts,"1,956,047"
192,문복희 Eat with Boki,,"1,944,348"
193,전장구벌네,"#seventeen, #조슈아","1,938,739"
194,금사빠TV,"#금연캠페인, #보건복지부","1,938,416"
195,서은이야기[SeoeunStory],"#seoeunstory, #seoeun","1,924,152"
196,계향쓰 GH'S,,"1,921,444"
197,JYP Entertainment,"#2PM, #투피엠","1,917,054"
198,미래에셋 스마트머니,"#해외주식, #미국주식","1,911,002"
199,HYBE LABELS,"#BTS, #방탄소년단","1,905,941"
200,오늘도욱하는 욱칸,"#무개념불법주정차, #무개념운전자","1,889,007"
201,BLACKPINK,"#BLACKPINK, #블랙핑크","1,886,089"
202,별사탕 뉴스,"#인순이, #인순이학교","1,884,417"
203,[햄지]Hamzy,"#파삼겹진짬뽕, #ramyun","1,878,227"
204,83부부,"#shorts, #전화통화","1,878,195"
205,Amazing Cooking - 놀라운 요리,"#asmr, #스톱모션요리","1,876,395"
206,Wanyo mori,#Shorts,"1,873,335"
207,BLACKPINK,"#BLACKPINK, #블랙핑크","1,849,706"
208,Ox_Zung Squad,"#OxZung, #OxZungmama","1,846,898"
209,BANGTANTV,,"1,837,733"
210,MAMAMOO,"#MAMAMOO, #마마무","1,834,402"
211,MapleStory_KR,"#메이플스토리, #신규직업","1,834,119"
212,어쟤골,"#골든차일드, #장준","1,817,673"
213,디마와 자동차,,"1,811,519"
214,SMTOWN,"#NCT, #MakeAWish","1,807,802"
215,BANGTANTV,,"1,797,217"
216,tzuyang쯔양,"#청주, #떡볶이","1,796,086"
217,미니팡TV,"#미니팡, #컬러놀이","1,793,954"
218,이강TV,"#shorts, #논슬립삭스","1,780,469"
219,JTBC Drama,,"1,777,456"
220,Wanyo mori,#Shorts,"1,773,742"
221,어스TV,"#Mukbang, #fridaynightfunkin","1,765,197"
222,1theK (원더케이),"#NEWRELEASE, #MV","1,754,154"
