순위,채널명,태그,주간 최고 동시 시청자수
107,피식대학Psick Univ,"#B대면데이트, #최준","5,896명"
108,이리온 [이베스트투자증권],"#이리온, #이리온스튜디오","5,873명"
109,딩고 뮤직 / dingo music,"#KPOP, #음악","5,869명"
110,M트렌드,"#m, #m트렌드","5,862명"
111,김성회의 옳은소리,"#김성회, #정치연구소","5,803명"
112,YTN 라디오,"#YTN, #황출새","5,710명"
113,흰수염고래스포츠,"#류현진, #메이저리그","5,697명"
114,우주하마,"#병맛게임, #ㅋㅋㅋㅋ","5,687명"
115,AUTOPLUS,"#리본카, #오토플러스","5,642명"
116,랑쯔,"#리니지2m, #미르4","5,637명"
117,2022어벤저스,,"5,626명"
118,피집사,"#집사, #동물이슈","5,622명"
119,한국 완두콩,"#funny, #animation","5,560명"
120,전옥현 안보정론TV,"#문재인, #김정은","5,531명"
121,선한목자교회,"#유기성, #선한목자교회","5,498명"
122,MBN News,"#MBN, #NEWS","5,485명"
123,ぱく家(박가네),"#썰, #일본","5,409명"
124,우리들교회,"#우리들교회, #김양재","5,291명"
125,논리왕 전기,"#전기, #머니게임","5,269명"
126,이송원TV,"#이송원, #김어준","5,156명"
127,DTCU | 대탈출 유니버스,"#tvN, #대탈출","5,146명"
128,코인탐정 사무소- 사토시 코난,"#비트코인, #가상자산","5,115명"
129,815머니톡,"#주식투자, #재테크","5,029명"
130,U.M.A.우마,"#수르스트뢰밍, #우마UMA","5,028명"
131,신의두뇌-비트코인 경제TV,"#암호화폐, #비트코인","4,991명"
132,성시경 SUNG SI KYUNG,"#성시경, #성시경유튜브","4,931명"
133,KTV 최고수다,"#최고수다, #ktv","4,905명"
134,제자광성교회,"#제자광성교회, #제자광성","4,865명"
135,파이브앤식스 인터내셔널,"#스포츠, #당구","4,847명"
136,대도서관TV (buzzbean11),"#대도서관, #공포게임","4,756명"
137,"고앤컴, 하나님의 교회","#하나님의교회, #하나님","4,748명"
138,스트리머 사또,"#리니지2M, #넷마블","4,713명"
139,나는 빡빡이다,"#스토리, #유튜브","4,658명"
140,리니지2 레볼루션,"#넷마블, #넷마블게임즈","4,644명"
141,사이퍼즈Cyphers,"#사이퍼즈, #정인호","4,623명"
142,오뽀가디언- 비트코인TV,"#오뽀, #비트코인","4,515명"
143,장추자,"#장추자, #트랜스젠더","4,493명"
144,손상대TV,"#손상대, #손상대TV","4,492명"
145,앵그리블루 LIVE,"#황장수, #앵그리블루","4,477명"
146,이작가,,"4,429명"
147,안정모의 주식투자,"#주식, #주식투자","4,401명"
148,구제역,"#신문고, #이슈","4,398명"
149,지구촌교회,"#지구촌교회, #이동원목사","4,319명"
150,신비TV,"#신비TV, #신비티비","4,254명"
151,매일경제TV,"#매일경제TV, #매일경제","4,211명"
152,이지성TV,"#독서, #강의","4,201명"
153,여의도순복음교회(Yoido Full Gospel Church),"#여의도순복음교회, #생방송","4,173명"
154,김학중 목사_꿈의교회 미디어교회,"#김학중목사, #꿈의교회","4,131명"
155,"주식단테-작전주,경제차트분석,주식전문","#증권, #주식초보","4,129명"
156,육식맨 YOOXICMAN,"#육식맨, #육식","4,099명"
157,급식쌤들,"#급식쌤들, #급식왕","4,037명"
158,정성산TV,"#정성산TV, #정성산","4,004명"
159,LunLuns,"#도쿄일상, #일본일상","3,977명"
160,정완진TV,"#자영업자, #소상공인","3,968명"
161,베이직교회,"#기독교, #교회","3,967명"
162,예랑가랑,"#가인학생, #방예린학생","3,868명"
163,카광,"#윤덕규, #카광","3,859명"
164,이낙연TV,"#이낙연, #이낙연tv","3,837명"
165,김진짜 Real KIM,"#축구, #김진짜","3,818명"
166,K바둑,"#바둑, #go","3,815명"
167,도봉박홍기,"#부동산, #경제위기","3,784명"
168,도토리TV Dotori TV,"#백패킹, #도토리TV","3,782명"
169,열린민주당TV,"#열린민주당, #최강욱","3,726명"
170,훼사원,"#diy, #튜닝","3,717명"
171,강명도TV-자유조선,"#강명도TV, #강명도","3,707명"
172,김우진 KIM WOOJIN,"#KIMWOOJIN, #WOOJIN","3,688명"
173,슈콘,"#비트코인, #이오스","3,659명"
174,밍모,"#게임, #밍모","3,626명"
175,Amazing Cooking - 놀라운 요리,"#Cooking, #stopmotion","3,623명"
176,rutctv,"#rutc, #rutctv","3,579명"
177,불사조,"#현대차, #조선주","3,570명"
178,차명진TV,"#차명진, #차명진TV","3,564명"
179,콬TV,"#웹드라마, #웹드","3,549명"
180,김한용의 MOCAR,"#모카, #자동차","3,542명"
181,실전마케팅텔레그램 BESTSJ,"#파워볼, #파워볼가족방","3,496명"
182,아이템의 인벤토리,"#아이템, #아이템의인벤토리","3,480명"
183,파워볼 늑대 TV,"#바카라, #강원랜드","3,479명"
184,똘끼100%,"#비트코인, #코인","3,451명"
185,Mdromeda KPOP,"#KPOP, #it","3,440명"
186,DATA LIVE,"#chart, #조회수","3,432명"
187,강철환TV,"#강철환, #북한","3,403명"
188,한번도TV,"#진중권, #강양구","3,388명"
189,AforU 아포유,"#부동산, #아포유","3,366명"
190,아이게스,"#해리, #메이저리그","3,363명"
191,렌,"#리니지M, #패키지","3,346명"
192,수삼티비,"#리니지, #리니지2m","3,307명"
193,CALLING GOD 콜링갓,"#기도, #기독교","3,282명"
194,만나 미디어교회,"#만나교회, #김병삼목사","3,271명"
195,공모주린이,"#공모주, #주식","3,229명"
196,파워볼메이저,"#파워볼, #파워볼실시간","3,205명"
197,히밥heebab,"#히밥, #도전먹방","3,189명"
198,동룡쓰,"#동룡쓰, #로블록스","3,189명"
199,이특 LEETEUK,"#이특, #백종원","3,182명"
200,최배근 TV,"#팩트, #통계","3,179명"
201,뉴스데일리베스트,"#뉴스데일리베스트, #데일리베스트","3,121명"
202,돈복사하는남자 / 돈복남tv,"#비트코인, #이더리움","3,100명"
203,냉철tv,"#전업투자자, #전업투자","3,100명"
204,KBS 1라디오,"#kbs1라디오, #kbs","3,071명"
205,이웃사람 《부동산TV》,"#부동산, #전망","3,047명"
206,수영로교회 Sooyoungro Church,"#수영로교회, #정필도","3,038명"
207,욱이,"#리니지2m, #이문주","3,037명"
208,GoodNewsTV,"#GoodNewsTV, #굿뉴스티비","3,012명"
