순위,채널명,태그,주간_유료컨텐츠조회수
114,때잉,#극락브금,"225,369"
115,감스트GAMST,,"222,920"
116,E트렌드,"#주식, #국내주식","222,471"
117,삼프로TV_경제의신과함께,"#경제의신과함께, #삼프로TV","222,447"
118,참참참,,"217,213"
119,문복희 Eat with Boki,"#육십계치킨십계봤다가, #생각보다매워서","217,201"
120,땡절스 DanJerous,"#쿠캣마켓, #거실뱅크","215,514"
121,문복희 Eat with Boki,"#페리카나, #먹고","211,171"
122,[햄지]Hamzy,"#선화동매운실비김치, #파김치","209,657"
123,고발뉴스TV,,"207,066"
124,코삼부자 by 허웅 허훈 허재,"#스포츠의감동을함께보다크게, #NeoQLED","206,417"
125,고발뉴스TV,,"205,243"
126,Lemoring,"#BTS, #방탄소년단","205,233"
127,우니의끼니 UNIII,,"202,487"
128,문복희 Eat with Boki,"#밖에서비비큐먹을때, #비비큐림은필수","200,484"
129,웃어봐요 동물의 짤,#동물밈,"198,989"
130,잡식왕,"#10년후세계사, #미래","198,987"
131,웃긴댓글,"#웃긴영상, #웃긴댓글","197,719"
132,침착맨,"#마블퓨처레볼루션, #마블히어로","197,643"
133,Shoot for Love 슛포러브,,"196,974"
134,Nebom 사계절의 네봄,"#요리브이로그, #자취일상","196,797"
135,이석현,"#카이사, #롤","195,489"
136,대륙판눈요기TV,,"193,554"
137,ASMR Ouvir 오비르,#5thpage,"192,186"
138,스튜디오 훜 : STUDIO HOOK,"#오늘도삽질, #정재형","191,827"
139,코미디빅리그,"#코미디빅리그, #두분사망토론","189,093"
140,때잉,#까르보불닭,"188,291"
141,Shoot for Love 슛포러브,"#이천수, #천재투어","187,081"
142,영국남자 Korean Englishman,"#치킨, #KoreanChicken","184,181"
143,미선임파서블 MISUN:IMPOSSIBLE,"#박미선, #미선임파서블","182,615"
144,인싸 케이k彡,"#gv70결함, #공명음","179,515"
145,1theK Originals - 원더케이 오리지널,"#비투비, #내돌카페","178,845"
146,스튜디오 룰루랄라- studio lululala,"#아판다, #브레이브걸스","178,412"
147,지켜츄 Chuu Can Do It,"#유료광고, #지켜츄를지켜츄","178,106"
148,공대생 변승주 DS,"#갤럭시북스튜디오, #삼성","177,962"
149,요리용디 Yori Yongd,#Shorts,"177,937"
150,이동형TV,"#StayHome, #집에서함께해요","177,513"
151,채널 십오야,"#악마정남2, #유료광고포함","177,429"
152,고발뉴스TV,,"177,053"
153,이재석,,"176,733"
154,버거형,"#맵따구불김치, #김치","176,681"
155,김구라의 뻐꾸기 골프 TV,"#인교진, #조현재","175,909"
156,루디고 RUDYGO,"#루디고, #루대숲","174,838"
157,tweety 트위티,,"173,900"
158,대륙판눈요기TV,,"173,783"
159,산범 SANBUM,"#세리박스, #산범다이어트","173,485"
160,THE BOB - 더 밥 스튜디오,"#경기바다, #경기도화성","173,416"
161,웃긴댓글,"#레전드짤, #웃긴댓글","173,157"
162,815머니톡,,"172,175"
163,조효진 HYOJIN,#Lively,"171,796"
164,Vito ASMR,"#vitoasmr, #pocus","171,272"
165,tvN D STUDIO,"#권진아, #뮤직비디오","170,583"
166,Shoot for Love 슛포러브,,"169,874"
167,THE BOB - 더 밥 스튜디오,"#경기바다, #경기도화성","169,025"
168,요리용디 Yori Yongd,#Shorts,"168,076"
169,빵송국,"#MadMonster, #다시만난누난예뻐","167,989"
170,1MILLION Dance Studio,"#1MILLION, #DANCE","167,417"
171,만만,"#만만, #오딘","166,710"
172,삼프로TV_경제의신과함께,"#경제의신과함께, #삼프로TV","166,633"
173,이석현,"#AP카이사, #롤","166,094"
